时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-23T07:33:48.824Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3892,0.5811,0.7085,0.24,0.79,0.67,39.03,23.25,24.05
"2025-05-23T07:33:48.843Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2495,0.9434,-0.2183,1.04,-0.06,0.06,102.67,14.35,-173.65
"2025-05-23T07:33:48.848Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1558,0.1543,1.0049,0.31,0.06,-0.24,8.39,9.10,-107.83
"2025-05-23T07:33:48.853Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9551,-0.2480,0.1626,-0.43,-0.43,0.85,-57.52,72.80,-148.09
"2025-05-23T07:33:48.854Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0479,0.9907,-0.0479,1.89,0.18,-0.06,92.68,2.88,-49.65
"2025-05-23T07:33:48.867Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1523,0.1436,1.0083,0.55,0.18,0.92,8.43,9.10,-107.80
"2025-05-23T07:33:48.872Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3872,0.5835,0.7061,0.55,0.00,-0.67,39.05,23.26,24.03
"2025-05-23T07:33:48.893Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0601,1.0005,-0.0356,1.77,-0.31,0.12,92.81,2.88,-49.61
"2025-05-23T07:33:48.898Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1519,-0.1577,0.9985,-0.31,-0.73,-0.49,-8.68,-10.01,37.50
"2025-05-23T07:33:48.914Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1523,0.1499,1.0078,0.79,0.55,-1.04,8.46,9.14,-107.81
"2025-05-23T07:33:48.919Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3867,0.5796,0.7114,0.12,1.59,-0.18,39.07,23.31,24.05
"2025-05-23T07:33:48.920Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2432,0.9395,-0.2056,0.12,0.67,0.24,102.72,14.34,-173.61
"2025-05-23T07:33:48.920Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0508,0.9937,-0.0571,2.14,-0.73,0.55,92.89,2.87,-49.69
"2025-05-23T07:33:48.924Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1563,-0.1528,1.0005,-0.37,-0.85,0.43,-8.70,-10.06,37.52
