时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-23T07:30:30.844Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2139,0.1807,0.9976,0.98,3.11,1.22,10.00,13.69,-104.18
"2025-05-23T07:30:30.859Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2510,0.9492,-0.2407,1.28,-1.22,-0.06,104.46,16.11,-90.32
"2025-05-23T07:30:30.861Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9658,-0.2407,0.1221,-2.50,2.56,2.62,-61.97,73.13,-159.24
"2025-05-23T07:30:30.862Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0181,0.9907,-0.0054,-3.11,2.99,0.12,90.59,1.03,-59.69
"2025-05-23T07:30:30.863Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2891,0.1812,0.9756,1.40,2.14,4.33,10.11,13.80,-104.03
"2025-05-23T07:30:30.864Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3999,0.5444,0.7231,1.46,0.73,-2.01,37.49,24.47,39.89
"2025-05-23T07:30:30.870Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1802,-0.0977,0.9951,-1.04,-1.77,-0.18,-6.11,-12.27,54.46
"2025-05-23T07:30:30.884Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0464,0.9712,-0.0698,1.71,8.54,0.24,90.53,1.02,-59.38
"2025-05-23T07:30:30.904Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4189,0.5493,0.7119,-0.79,5.49,3.66,37.57,24.57,40.02
"2025-05-23T07:30:30.908Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2222,0.9395,-0.2510,-0.06,7.45,0.43,104.58,16.06,-90.19
"2025-05-23T07:30:30.909Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9712,-0.2285,0.1221,-2.87,-1.89,2.87,-61.97,73.26,-159.11
"2025-05-23T07:30:30.911Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0195,0.9824,-0.0161,5.49,3.85,-0.06,90.72,0.99,-59.07
"2025-05-23T07:30:30.912Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1855,-0.1157,0.9922,-0.85,-2.56,8.12,-6.22,-12.33,54.71
"2025-05-23T07:30:30.920Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2773,0.1895,0.9819,1.40,-0.49,3.36,10.24,13.80,-103.76
"2025-05-23T07:30:30.943Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2144,0.1846,0.9961,1.77,-0.92,-2.50,10.34,13.75,-103.74
"2025-05-23T07:30:30.947Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2783,0.9048,-0.2764,-2.08,8.24,0.24,104.61,15.92,-89.76
"2025-05-23T07:30:30.952Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9609,-0.2319,0.1455,0.00,-1.65,1.53,-61.59,73.31,-158.66
"2025-05-23T07:30:30.953Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.2295,-0.1104,0.9976,-0.73,-1.04,2.99,-6.33,-12.41,54.98
"2025-05-23T07:30:30.966Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4326,0.5493,0.7168,0.37,2.01,1.28,37.65,24.65,40.20
"2025-05-23T07:30:30.991Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2480,0.9370,-0.2578,1.89,-4.58,1.04,104.67,15.84,-89.68
"2025-05-23T07:30:30.992Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9570,-0.2324,0.1436,-0.24,0.85,0.73,-61.51,73.36,-158.59
"2025-05-23T07:30:30.993Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0112,1.0122,0.0112,4.03,-1.59,0.37,90.97,0.99,-59.05
"2025-05-23T07:30:30.997Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1792,-0.1274,0.9966,-1.34,0.98,-6.29,-6.34,-12.41,54.84
"2025-05-23T07:30:31.012Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4136,0.5688,0.7012,2.62,-2.38,-3.78,37.68,24.66,40.08
"2025-05-23T07:30:31.013Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2524,0.9272,-0.2407,0.49,-3.66,2.08,104.66,15.82,-90.03
"2025-05-23T07:30:31.033Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2031,0.1621,0.9888,1.40,0.73,-2.50,10.37,13.77,-103.85
"2025-05-23T07:30:31.037Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9634,-0.2256,0.1333,0.55,2.69,1.16,-61.78,73.45,-158.93
"2025-05-23T07:30:31.038Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0381,1.0015,0.0166,1.77,-4.52,-0.67,91.09,1.00,-59.22
"2025-05-23T07:30:31.095Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2480,0.1948,0.9727,0.55,1.28,-4.15,10.37,13.86,-104.07
"2025-05-23T07:30:31.099Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4204,0.5376,0.7202,0.73,0.61,-0.73,37.71,24.69,39.95
"2025-05-23T07:30:31.100Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1963,-0.1011,0.9907,-1.10,0.12,-2.62,-6.37,-12.41,54.61
"2025-05-23T07:30:31.101Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0063,0.9932,-0.0474,3.05,-3.91,0.31,91.24,1.03,-59.48
"2025-05-23T07:30:31.132Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2583,0.1904,0.9863,1.16,0.67,-3.60,10.38,13.96,-104.24
"2025-05-23T07:30:31.134Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4194,0.5645,0.7070,0.12,0.98,0.06,37.73,24.74,39.94
"2025-05-23T07:30:31.140Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2227,0.9263,-0.2480,-0.31,-1.53,0.12,104.65,15.79,-90.19
"2025-05-23T07:30:31.141Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9678,-0.2266,0.1255,0.61,0.85,0.67,-62.01,73.54,-159.21
"2025-05-23T07:30:31.143Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0283,1.0361,-0.0332,-0.73,-0.49,2.14,91.33,1.01,-59.60
"2025-05-23T07:30:31.144Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.2051,-0.1240,0.9966,-0.61,-1.04,-0.06,-6.39,-12.44,54.55
"2025-05-23T07:30:31.148Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2539,0.1987,0.9800,-0.12,0.85,4.09,10.41,14.00,-104.24
