时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-23T07:28:53.504Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1548,-0.1670,1.0718,45.35,-35.16,-16.48,-6.04,7.05,-102.04
"2025-05-23T07:28:53.508Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.3364,0.9570,0.1343,-4.88,2.44,-1.71,80.69,18.29,-38.71
"2025-05-23T07:28:53.509Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9346,-0.2212,0.2734,1.83,1.04,-0.73,-39.56,69.57,-135.89
"2025-05-23T07:28:53.511Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0884,0.9712,0.3706,1.59,-3.17,0.79,68.42,-4.17,-26.52
"2025-05-23T07:28:53.511Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.0767,-0.0439,1.4336,-39.31,32.04,0.18,-3.15,0.26,55.82
"2025-05-23T07:28:53.515Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2729,0.6265,0.7295,-2.14,1.83,-1.28,40.50,13.23,132.68
"2025-05-23T07:28:53.519Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.3267,0.9419,0.1182,2.56,-6.23,0.55,80.76,18.24,-38.82
"2025-05-23T07:28:53.535Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.0869,0.0537,1.0449,26.18,-66.41,-9.22,-4.00,4.64,-102.75
"2025-05-23T07:28:53.539Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9458,-0.2021,0.2739,-3.30,-0.92,-2.26,-39.72,69.54,-136.13
"2025-05-23T07:28:53.540Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.1040,0.8945,0.3813,2.81,3.97,-0.55,68.51,-4.14,-26.58
"2025-05-23T07:28:53.557Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.0054,-0.0493,1.1855,29.05,-31.13,19.23,-2.69,1.83,-102.17
"2025-05-23T07:28:53.561Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2266,0.6045,0.7407,-0.37,-2.08,-5.13,40.40,13.30,132.53
"2025-05-23T07:28:53.585Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.0908,0.0229,1.0010,-24.23,10.99,-8.12,-5.38,2.36,55.23
"2025-05-23T07:28:53.663Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2358,0.6455,0.7100,3.17,-2.87,-4.52,40.40,13.36,132.15
"2025-05-23T07:28:53.706Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2808,0.9048,0.1685,7.63,-10.56,-0.49,80.78,18.19,-39.45
