时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-23T07:32:44.208Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4189,0.5391,0.7358,-0.79,5.74,4.39,38.61,24.56,29.14
"2025-05-23T07:32:44.223Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1475,0.0869,1.0190,1.28,-1.89,2.99,7.72,8.74,-111.88
"2025-05-23T07:32:44.230Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0674,0.9971,-0.0166,-2.69,3.42,1.46,91.73,2.06,-56.24
"2025-05-23T07:32:44.232Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.2251,-0.1182,0.9971,-0.98,-1.65,8.91,-9.02,-11.20,42.29
"2025-05-23T07:32:44.248Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1523,0.1436,1.0015,1.65,-1.83,0.49,7.81,8.65,-111.76
"2025-05-23T07:32:44.254Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4141,0.5771,0.6938,1.28,3.72,3.36,38.75,24.61,29.45
"2025-05-23T07:32:44.255Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2544,0.9136,-0.2456,-2.14,4.21,0.49,102.02,14.03,-146.00
"2025-05-23T07:32:44.267Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9551,-0.2461,0.1548,-1.16,-0.49,2.99,-57.96,72.27,-151.75
"2025-05-23T07:32:44.272Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.2041,-0.1631,0.9902,-1.83,0.49,6.23,-9.16,-11.17,42.64
"2025-05-23T07:32:44.288Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4131,0.5483,0.7231,0.79,5.31,6.47,38.97,24.62,29.88
"2025-05-23T07:32:44.289Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2378,0.9604,-0.2134,-6.77,5.43,2.01,101.91,13.92,-145.93
"2025-05-23T07:32:44.294Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0166,0.9868,-0.0342,-3.66,4.64,2.99,91.55,1.93,-56.09
"2025-05-23T07:32:44.298Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.2080,-0.1191,0.9961,-2.62,0.98,8.30,-9.35,-11.06,43.07
"2025-05-23T07:32:44.308Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1489,0.1113,1.0200,2.26,-2.08,5.31,7.93,8.52,-111.59
"2025-05-23T07:32:44.313Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9502,-0.2690,0.1646,-3.11,-0.79,4.15,-57.71,72.40,-151.41
"2025-05-23T07:32:44.334Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2554,0.9102,-0.2559,-0.85,-1.22,2.69,101.74,13.77,-145.95
"2025-05-23T07:32:44.423Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9448,-0.2681,0.1665,-2.38,0.85,5.86,-57.47,72.62,-151.02
"2025-05-23T07:32:44.424Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0889,1.0098,-0.0132,-8.42,11.23,6.23,91.19,1.71,-55.62
"2025-05-23T07:32:44.425Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.2300,-0.1816,0.9824,-4.09,3.11,6.41,-9.57,-10.92,43.32
"2025-05-23T07:32:44.427Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4346,0.5723,0.6851,3.78,1.65,6.04,39.22,24.57,30.17
"2025-05-23T07:32:44.428Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2295,0.9492,-0.2134,-9.16,-1.95,1.95,101.38,13.67,-146.21
"2025-05-23T07:32:44.429Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0537,1.0132,-0.0200,-10.07,-4.58,4.76,90.78,1.43,-55.46
"2025-05-23T07:32:44.430Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1313,0.1045,1.0063,3.23,-2.99,-0.43,8.10,8.37,-111.45
"2025-05-23T07:32:44.432Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4126,0.5703,0.6899,3.60,3.05,9.89,39.57,24.41,30.55
"2025-05-23T07:32:44.433Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9609,-0.2368,0.1577,-0.12,2.26,5.07,-57.30,72.93,-150.81
"2025-05-23T07:32:44.483Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1597,0.1572,1.0171,2.62,-4.03,-5.31,8.24,8.26,-111.67
"2025-05-23T07:32:44.484Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0903,1.0688,-0.0728,-10.38,-3.97,12.76,90.27,1.05,-55.81
"2025-05-23T07:32:44.485Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.2036,-0.1460,0.9878,-5.43,4.76,11.78,-9.88,-10.65,43.76
"2025-05-23T07:32:44.490Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1470,0.1475,0.9941,1.22,-7.69,-6.90,8.31,7.92,-112.18
"2025-05-23T07:32:44.491Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4229,0.5889,0.6963,12.33,-12.76,-8.79,39.90,24.19,30.32
"2025-05-23T07:32:44.492Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2666,0.8994,-0.2554,-5.74,-17.76,6.71,100.74,13.55,-146.66
"2025-05-23T07:32:44.493Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9624,-0.2505,0.1484,0.79,2.62,5.98,-57.19,73.23,-150.76
"2025-05-23T07:32:44.494Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0234,0.9575,-0.0405,-19.29,-18.31,7.20,89.30,0.53,-56.29
"2025-05-23T07:32:44.495Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.2144,-0.2153,1.0049,-10.01,10.19,-16.48,-10.26,-10.38,43.38
"2025-05-23T07:32:44.500Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2305,0.1787,1.0605,1.53,-10.80,-12.94,8.34,7.57,-112.64
"2025-05-23T07:32:44.501Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3813,0.5786,0.7021,4.88,0.92,7.26,40.22,23.92,30.32
"2025-05-23T07:32:44.502Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.1313,1.0859,-0.2241,-26.00,-28.99,3.78,99.99,13.42,-147.99
"2025-05-23T07:32:44.503Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1392,-0.1821,1.0029,-9.95,10.13,8.61,-10.67,-9.85,43.30
"2025-05-23T07:32:44.517Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9775,-0.2363,0.1606,2.81,0.61,4.88,-56.91,73.53,-150.55
"2025-05-23T07:32:44.619Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.1704,0.9185,-0.1987,-31.25,5.92,9.77,98.04,13.06,-148.41
"2025-05-23T07:32:44.690Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-1.0068,-0.2334,0.1382,3.11,-8.18,2.20,-56.00,73.60,-149.81
"2025-05-23T07:32:44.691Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.2017,-0.2080,0.9619,-11.66,2.87,22.22,-11.37,-9.40,44.06
"2025-05-23T07:32:44.692Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0010,1.0713,-0.1138,-29.54,-15.01,6.90,88.16,0.27,-57.27
"2025-05-23T07:32:44.693Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.3218,0.2319,1.0249,3.97,-13.98,-2.08,8.36,7.06,-113.22
"2025-05-23T07:32:44.694Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4131,0.5728,0.6851,5.74,1.71,14.28,40.73,23.65,30.82
"2025-05-23T07:32:44.695Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.1392,0.9902,-0.1401,-24.48,26.43,6.41,96.87,12.46,-147.34
"2025-05-23T07:32:44.695Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9927,-0.2437,0.1260,-8.30,-30.94,2.38,-52.92,73.16,-146.60
"2025-05-23T07:32:44.696Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0420,0.9912,-0.1069,-14.04,-1.65,9.64,86.90,-0.07,-57.91
"2025-05-23T07:32:44.696Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3774,0.5508,0.7334,3.85,2.01,18.19,41.26,23.19,31.61
"2025-05-23T07:32:44.701Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.3062,0.2017,1.0239,1.71,-20.02,25.76,8.55,6.12,-112.74
"2025-05-23T07:32:44.702Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0718,0.9502,-0.1172,-8.42,29.11,4.58,86.07,-0.55,-56.54
"2025-05-23T07:32:44.703Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1860,-0.1138,1.0034,-8.61,2.38,30.21,-12.01,-8.99,45.43
"2025-05-23T07:32:44.704Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2285,0.2461,0.9600,2.26,-15.69,29.42,8.67,4.87,-111.74
"2025-05-23T07:32:44.704Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3848,0.6113,0.7144,6.41,-4.58,12.45,41.75,22.63,31.89
"2025-05-23T07:32:44.705Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2305,0.8960,-0.1729,-3.11,32.29,-1.65,96.28,12.04,-145.62
"2025-05-23T07:32:44.707Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1104,-0.2715,1.0098,-3.48,5.92,20.32,-12.50,-8.57,46.26
"2025-05-23T07:32:44.708Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-1.0571,-0.1533,-0.0376,-2.08,-32.35,7.45,-49.11,72.44,-142.35
"2025-05-23T07:32:44.708Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0425,0.9312,0.1621,20.02,48.89,3.36,86.34,-0.58,-54.73
"2025-05-23T07:32:44.709Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.0522,0.0479,0.8311,20.02,37.23,4.70,9.12,4.84,-110.56
"2025-05-23T07:32:44.710Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3306,0.6694,0.6475,3.54,-0.67,5.62,42.11,22.20,32.22
"2025-05-23T07:32:44.711Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2773,0.9746,0.0605,-9.64,17.82,-3.30,95.95,12.00,-144.27
"2025-05-23T07:32:44.711Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-1.0093,-0.1353,-0.5776,-24.54,21.24,12.45,-47.03,72.44,-139.78
"2025-05-23T07:32:44.712Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.0005,-0.2939,1.0127,-2.20,6.84,4.82,-12.61,-8.06,46.81
"2025-05-23T07:32:44.738Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.1841,0.9346,-0.0225,-0.49,13.12,-0.79,95.80,12.02,-143.50
"2025-05-23T07:32:44.852Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-1.1309,-0.1250,-0.3604,-44.56,48.83,22.52,-51.66,74.57,-143.18
"2025-05-23T07:32:44.853Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0166,0.9341,-0.0996,17.88,29.66,8.97,86.99,-0.91,-53.16
"2025-05-23T07:32:44.853Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.0908,-0.2505,1.0049,0.31,0.55,22.52,-12.76,-7.84,47.41
"2025-05-23T07:32:44.854Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.4731,0.3438,0.9072,21.18,62.62,27.10,10.47,7.27,-109.54
"2025-05-23T07:32:44.855Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3809,0.6631,0.6543,-5.19,12.21,14.71,42.28,22.10,32.74
"2025-05-23T07:32:44.855Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2090,0.9829,-0.0078,-14.28,26.18,-0.79,95.73,12.00,-142.64
