时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-23T07:33:17.974Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2637,0.9297,-0.2314,-1.59,1.40,1.16,103.91,16.11,-140.89
"2025-05-23T07:33:17.993Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9595,-0.2222,0.1772,0.06,-0.73,0.79,-53.25,73.62,-148.89
"2025-05-23T07:33:17.994Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0029,0.9932,-0.0669,0.79,1.95,1.22,93.70,0.64,-49.53
"2025-05-23T07:33:17.995Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1836,-0.1357,0.9980,-0.67,0.00,1.46,-7.27,-11.99,39.84
"2025-05-23T07:33:18.016Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1377,0.1538,1.0083,0.55,-0.92,2.69,9.55,7.80,-109.57
"2025-05-23T07:33:18.021Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4023,0.5552,0.7236,0.31,1.28,1.10,37.31,23.90,21.27
"2025-05-23T07:33:18.026Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2627,0.9277,-0.2266,-1.53,2.38,0.24,103.91,16.11,-140.88
"2025-05-23T07:33:18.027Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9551,-0.2324,0.1787,-1.71,-1.89,1.22,-53.19,73.62,-148.79
"2025-05-23T07:33:18.028Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0181,1.0005,-0.0483,-0.24,2.14,0.55,93.73,0.60,-49.41
"2025-05-23T07:33:18.042Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3999,0.5718,0.7124,0.12,2.20,2.38,37.36,23.92,21.37
"2025-05-23T07:33:18.043Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9580,-0.2173,0.1748,-1.95,-1.83,1.28,-53.16,73.62,-148.71
"2025-05-23T07:33:18.061Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1328,0.1797,1.0020,0.67,0.00,3.42,9.61,7.76,-109.45
"2025-05-23T07:33:18.066Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0117,0.9966,-0.0571,0.00,1.65,0.85,93.74,0.55,-49.31
"2025-05-23T07:33:18.071Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1831,-0.1523,0.9995,-0.73,0.00,3.60,-7.34,-11.99,39.95
"2025-05-23T07:33:18.085Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1299,0.1689,1.0078,0.98,-0.85,1.28,9.66,7.73,-109.34
"2025-05-23T07:33:18.086Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3984,0.5498,0.7334,1.10,0.12,-0.18,37.42,23.93,21.50
"2025-05-23T07:33:18.087Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2734,0.9185,-0.2314,-0.73,2.62,0.18,103.90,16.05,-140.74
"2025-05-23T07:33:18.111Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0200,0.9990,-0.0503,-0.98,1.28,0.79,93.72,0.51,-49.24
"2025-05-23T07:33:18.112Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1919,-0.1255,1.0020,-0.85,-0.18,0.37,-7.40,-12.00,40.06
"2025-05-23T07:33:18.128Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1240,0.1851,1.0117,0.92,-0.92,1.46,9.72,7.68,-109.30
"2025-05-23T07:33:18.133Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3857,0.5454,0.7246,2.56,-1.53,-3.36,37.47,23.93,21.47
"2025-05-23T07:33:18.137Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2842,0.9165,-0.2324,0.24,-1.16,0.67,103.93,16.01,-140.75
