时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-23T07:29:53.807Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4395,0.5522,0.6870,0.55,0.79,-0.98,37.13,25.74,25.59
"2025-05-23T07:29:53.816Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0210,0.9834,-0.0381,-3.17,1.40,0.85,92.55,2.30,-46.35
"2025-05-23T07:29:53.817Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.2207,-0.1445,0.9795,-1.46,-1.04,-1.40,-6.36,-13.29,58.78
"2025-05-23T07:29:53.820Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2363,0.1865,0.9766,1.89,-0.06,-4.88,9.30,12.48,-99.12
"2025-05-23T07:29:53.826Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0664,1.0005,-0.0962,1.10,-1.10,0.37,92.48,2.28,-46.31
"2025-05-23T07:29:53.838Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2104,0.1699,0.9844,1.46,0.18,-6.77,9.31,12.53,-99.44
"2025-05-23T07:29:53.839Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4395,0.5508,0.7056,1.40,-1.71,-1.53,37.14,25.77,25.46
"2025-05-23T07:29:53.840Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2334,0.9038,-0.2837,0.24,-3.60,1.59,105.68,15.63,-62.80
"2025-05-23T07:29:53.843Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9512,-0.2441,0.1436,1.46,1.16,0.12,-59.67,73.37,-153.35
"2025-05-23T07:29:53.844Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.2407,-0.1240,0.9937,-0.37,0.85,-4.15,-6.37,-13.32,58.60
"2025-05-23T07:29:53.863Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4248,0.5410,0.7085,0.61,-0.67,-0.18,37.16,25.72,25.41
"2025-05-23T07:29:53.867Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0249,0.9771,-0.0396,2.87,-6.71,1.10,92.58,2.24,-46.53
"2025-05-23T07:29:53.884Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2197,0.1758,0.9849,0.24,1.10,-3.66,9.28,12.61,-99.72
"2025-05-23T07:29:53.886Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2461,0.9365,-0.2646,0.00,-5.25,1.65,105.67,15.62,-63.13
