时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-23T07:27:43.877Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.1851,-0.1470,0.9976,4.76,-3.36,-1.22,-6.95,-10.18,-153.13
"2025-05-23T07:27:43.886Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2690,0.6997,0.6626,2.32,-0.43,-0.18,46.39,15.90,61.92
"2025-05-23T07:27:43.887Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0264,0.1729,1.0117,2.08,1.53,-0.79,9.85,0.55,-98.60
"2025-05-23T07:27:43.889Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.3081,-0.3555,0.9111,-2.50,-0.31,-1.95,-20.98,16.92,-47.87
"2025-05-23T07:27:43.893Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2651,0.7036,0.6577,2.38,0.06,-1.04,46.49,15.91,61.88
"2025-05-23T07:27:43.915Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.1934,-0.1123,1.0054,3.72,-0.37,-0.37,-6.75,-10.22,-153.15
"2025-05-23T07:27:43.918Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",0.0493,0.4302,0.9253,-0.06,-4.58,2.75,26.05,-3.01,-122.22
"2025-05-23T07:27:43.919Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.8911,-0.2939,0.3442,0.12,0.12,0.85,-40.69,63.15,173.86
"2025-05-23T07:27:43.923Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0117,0.1597,1.0181,0.85,2.08,-0.37,9.94,0.63,-98.64
"2025-05-23T07:27:43.924Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.3101,-0.3628,0.9053,-3.30,-1.22,-2.56,-21.15,16.84,-47.97
"2025-05-23T07:27:43.938Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2700,0.7061,0.6582,0.61,0.67,-0.98,46.58,15.97,61.85
"2025-05-23T07:27:43.939Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",0.0767,0.4365,0.9268,2.20,-7.45,3.48,26.12,-3.37,-122.22
"2025-05-23T07:27:43.959Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.1831,-0.1289,1.0122,3.17,0.49,1.22,-6.58,-10.21,-153.19
"2025-05-23T07:27:43.964Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.8989,-0.2915,0.3413,-0.12,0.85,0.92,-40.68,63.21,173.89
"2025-05-23T07:27:43.966Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.3008,-0.3945,0.9092,-2.62,-1.40,-0.55,-21.35,16.75,-48.03
"2025-05-23T07:27:43.984Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",0.0938,0.4570,0.9126,1.65,-1.40,4.52,26.26,-3.71,-122.17
"2025-05-23T07:27:43.989Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.2920,-0.3877,0.8916,-2.38,-2.93,3.72,-21.43,16.67,-47.89
"2025-05-23T07:27:44.009Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.8911,-0.2969,0.3423,0.92,1.04,1.10,-40.68,63.30,173.88
"2025-05-23T07:27:44.027Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.1680,-0.1084,1.0010,4.27,0.37,1.59,-6.41,-10.18,-153.14
"2025-05-23T07:27:44.028Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2729,0.7051,0.6382,-1.53,1.40,0.00,46.54,16.01,61.88
"2025-05-23T07:27:44.031Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",0.0986,0.4653,0.9019,1.59,-2.14,7.14,26.32,-3.89,-121.91
"2025-05-23T07:27:44.032Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9180,-0.2944,0.3271,1.53,0.61,2.56,-40.56,63.41,173.94
"2025-05-23T07:27:44.033Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0181,0.1812,1.0059,1.16,0.92,0.31,10.00,0.73,-98.62
