时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-23T07:31:30.530Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.0771,0.0073,1.0264,-0.92,-0.18,0.18,-3.21,-5.42,171.08
"2025-05-23T07:31:30.544Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2275,0.8296,0.5396,-4.27,3.60,4.27,44.14,17.68,63.00
"2025-05-23T07:31:30.545Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",0.2310,0.4399,0.7983,-1.40,6.71,-9.09,27.43,-7.50,-105.23
"2025-05-23T07:31:30.547Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9326,-0.3032,0.2051,-1.28,1.22,2.32,-56.06,68.18,160.46
"2025-05-23T07:31:30.549Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0298,0.2549,1.0029,-1.10,3.78,1.34,13.21,5.03,-95.70
"2025-05-23T07:31:30.550Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.2241,-0.4253,0.9102,3.85,-0.67,2.26,-21.81,13.46,-41.61
"2025-05-23T07:31:30.571Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.1006,0.0181,1.0103,-2.62,-0.18,2.93,-3.31,-5.44,171.15
"2025-05-23T07:31:30.576Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2432,0.6714,0.8896,2.32,-10.13,-8.85,44.31,17.67,63.50
"2025-05-23T07:31:30.580Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",0.1133,0.5757,0.9893,1.40,2.75,-1.46,27.25,-6.84,-105.29
"2025-05-23T07:31:30.581Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9302,-0.2935,0.2056,-1.28,-1.04,-1.71,-56.13,68.21,160.45
"2025-05-23T07:31:30.585Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.2529,-0.4805,1.0425,0.00,4.03,-0.18,-21.88,13.46,-41.63
"2025-05-23T07:31:30.597Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",0.2046,0.4023,0.8608,-0.92,4.33,-3.72,27.36,-6.90,-105.40
"2025-05-23T07:31:30.621Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9307,-0.3120,0.2065,-1.46,-1.71,-4.58,-56.33,68.03,160.30
"2025-05-23T07:31:30.624Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0605,0.2349,1.0054,-2.20,4.27,2.32,13.13,5.22,-95.56
"2025-05-23T07:31:30.625Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.2280,-0.4399,0.8457,2.81,1.04,1.10,-21.76,13.60,-41.78
"2025-05-23T07:31:30.640Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.0918,-0.0400,1.0229,-3.72,-0.98,3.05,-3.48,-5.45,171.33
"2025-05-23T07:31:30.641Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",0.1123,0.4956,0.9282,-0.92,6.41,0.85,27.35,-6.64,-105.30
"2025-05-23T07:31:30.663Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2998,0.6538,0.5840,-1.53,-1.89,-2.44,44.18,17.70,62.87
"2025-05-23T07:31:30.667Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9194,-0.3242,0.2119,-3.30,-3.17,-5.13,-56.56,67.76,160.14
"2025-05-23T07:31:30.671Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.1060,0.2246,0.9849,0.79,4.76,3.11,13.15,5.46,-95.38
"2025-05-23T07:31:30.684Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.0977,-0.0708,1.0146,-2.56,1.16,8.18,-3.67,-5.44,171.63
"2025-05-23T07:31:30.687Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3125,0.6577,0.7256,-5.49,0.24,2.08,43.91,17.63,63.01
"2025-05-23T07:31:30.691Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.1509,0.2217,0.9980,-2.93,-0.24,2.26,13.11,5.56,-95.16
"2025-05-23T07:31:30.692Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.2593,-0.2979,0.9595,3.66,-0.55,4.46,-21.55,13.71,-41.43
"2025-05-23T07:31:30.729Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.1118,-0.1299,1.0391,0.06,1.16,2.32,-3.76,-5.33,171.93
"2025-05-23T07:31:30.733Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2891,0.6401,0.6870,1.04,-1.16,-2.93,43.80,17.64,62.91
"2025-05-23T07:31:30.774Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",0.0493,0.4263,0.9009,-1.04,4.76,-3.17,27.26,-6.24,-105.21
"2025-05-23T07:31:30.785Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9170,-0.3389,0.2178,-2.50,-1.89,-2.81,-56.76,67.51,160.09
"2025-05-23T07:31:30.786Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.1426,0.2173,1.0063,0.37,0.73,-0.12,13.03,5.53,-95.15
"2025-05-23T07:31:30.787Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.2476,-0.3130,0.9268,0.92,0.24,-2.87,-21.42,13.69,-41.49
"2025-05-23T07:31:30.788Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3140,0.6519,0.7031,3.23,-1.46,-2.38,43.86,17.68,62.74
"2025-05-23T07:31:30.791Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.0918,-0.1152,1.0298,0.37,-0.12,-2.32,-3.76,-5.32,171.93
"2025-05-23T07:31:30.796Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",0.0757,0.4795,0.9043,-2.75,-0.73,-1.22,27.20,-6.14,-105.25
"2025-05-23T07:31:30.796Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9116,-0.3477,0.2231,-0.12,1.40,0.73,-56.88,67.48,159.98
"2025-05-23T07:31:30.798Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.2373,-0.3481,0.9409,0.24,-0.12,-5.31,-21.46,13.62,-41.69
"2025-05-23T07:31:30.845Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",0.1128,0.4648,0.8940,-2.26,-0.67,-1.71,27.11,-6.16,-105.37
"2025-05-23T07:31:30.850Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9194,-0.3335,0.2036,-0.79,1.16,3.72,-56.95,67.65,159.91
